,OBJECTID,CompName,Soiltype,MUKEY,meanMaizeYield,meanMaizeAGB,longitude,Latitude,CO2,meanSOC1,meanSOC2,meanN20,ChangeINCarbon,leached_nitrogen,MineralN
0,1,Canisteo,Canisteo:67422230,67422230,6878,19999,-93.62663054849462,42.482075455031364,3260,109,195,8,-1,3,45
1,2,Harps,Harps:67422079,67422079,5582,19907,-93.55967538141138,42.47791903491256,3343,107,194,10,-1,3,49
2,3,Nicollet,Nicollet:67428759,67428759,5120,19974,-93.65021750942044,42.40989676859096,3154,94,159,6,1,4,45
3,4,Nicollet,Nicollet:67428759,67428759,6070,20093,-93.63244164419024,42.45502589602211,3158,94,159,6,1,4,45
4,5,Canisteo,Canisteo:67422230,67422230,4751,19674,-93.58300437321219,42.36973125465818,3239,109,195,8,-1,4,48
5,6,Harps,Harps:67428901,67428901,5393,19943,-93.5474705100358,42.47347504292065,3354,107,194,10,-1,3,48
6,7,Canisteo,Canisteo:67422230,67422230,6381,19826,-93.59038565766356,42.50928542240127,3230,109,195,8,-1,3,47
7,8,Harps,Harps:67428901,67428901,5343,19949,-93.54131052064105,42.464498408822266,3354,107,194,10,-1,3,48
8,9,Spillville,Spillville:67431506,67431506,5594,20183,-93.57742721099235,42.42379548009708,3384,94,179,7,1,8,53
9,10,Harps,Harps:67428901,67428901,6551,20172,-93.63262295568161,42.473036669252906,3378,107,194,10,-1,3,46
